purchase_id	stock_record_id	purchase_dttm	selling_price_amt	seller_id	manager_id	sold_cnt
1	1	2019-01-02 15:43:00	999.00	1	3	1
2	1	2019-01-03 15:43:00	999.00	2	3	1
3	1	2019-01-04 15:43:00	999.00	1	3	1
4	1	2019-01-05 15:43:00	999.00	2	3	1
5	1	2019-01-06 15:43:00	999.00	1	3	1
6	1	2019-01-07 15:43:00	999.00	1	3	1
7	1	2019-01-08 15:43:00	999.00	1	3	1
8	1	2019-01-09 15:43:00	999.00	1	3	1
9	1	2019-01-10 15:43:00	999.00	2	3	1
10	1	2019-01-11 15:43:00	999.00	1	3	1
11	1	2019-01-12 15:43:00	999.00	2	3	1
12	1	2019-01-13 15:43:00	999.00	1	3	1
13	1	2019-01-14 15:43:00	999.00	1	3	1
14	1	2019-01-15 15:43:00	999.00	1	3	1
15	1	2019-01-16 15:43:00	999.00	2	3	1
16	1	2019-01-17 15:43:00	999.00	1	3	1
17	1	2019-01-18 15:43:00	999.00	2	3	1
18	1	2019-01-19 15:43:00	999.00	1	3	1
19	1	2019-01-20 15:43:00	999.00	2	3	1
20	1	2019-01-21 15:43:00	999.00	1	3	1
21	1	2019-04-17 15:43:00	999.00	1	3	1
22	1	2019-04-18 15:43:00	999.00	2	3	1
23	1	2019-04-19 15:43:00	999.00	2	3	1
24	1	2019-04-20 15:43:00	999.00	2	3	1
25	1	2019-04-21 15:43:00	999.00	1	3	1
26	2	2019-01-05 13:37:00	1999.00	1	3	1
27	2	2019-01-06 13:37:00	1999.00	2	3	1
28	2	2019-01-07 13:37:00	1999.00	1	3	1
29	2	2019-01-08 13:37:00	1999.00	2	3	1
30	2	2019-01-09 13:37:00	1999.00	1	3	1
31	2	2019-01-10 13:37:00	1999.00	2	3	1
32	2	2019-01-11 13:37:00	999.00	1	3	1
33	2	2019-01-12 13:37:00	999.00	1	3	1
34	2	2019-01-13 13:37:00	999.00	1	3	1
35	2	2019-01-14 13:37:00	999.00	1	3	1
36	2	2019-01-15 13:37:00	999.00	1	3	1
37	2	2019-01-16 13:37:00	999.00	1	3	1
38	2	2019-01-17 13:37:00	999.00	2	3	1
39	2	2019-01-18 13:37:00	999.00	2	3	1
40	2	2019-01-19 13:37:00	999.00	1	3	1
41	2	2019-01-20 13:37:00	999.00	2	3	1
42	3	2019-01-02 15:25:00	450.00	1	3	5
43	11	2019-05-11 14:30:00	450.00	7	8	5
44	4	2019-01-07 14:14:00	2499.00	2	3	8
45	5	2019-01-06 17:36:30	2399.00	6	8	7
46	6	2019-02-11 14:36:00	3999.99	6	8	1
47	6	2019-02-17 15:46:00	1999.99	7	8	8
48	8	2019-02-17 10:46:35	899.00	1	3	1
49	8	2019-02-19 15:34:45	899.00	2	3	1
50	8	2019-02-21 20:22:55	899.00	1	3	1
51	8	2019-02-24 10:11:05	899.00	1	3	1
52	8	2019-02-26 11:59:15	899.00	2	3	1
53	8	2019-02-28 10:47:25	899.00	1	3	1
54	9	2019-03-01 10:47:25	3999.00	6	8	1
55	9	2019-03-02 10:47:25	3999.00	7	8	1
56	9	2019-03-03 10:47:25	3999.00	7	8	1
57	9	2019-03-04 10:47:25	3999.00	7	8	1
58	9	2019-03-05 10:47:25	3999.00	6	8	1
59	9	2019-03-06 10:47:25	3999.00	6	8	1
60	9	2019-03-07 10:47:25	3999.00	6	8	1
61	9	2019-03-08 10:47:25	3999.00	6	8	1
62	10	2019-03-09 10:47:25	300.00	7	8	1
63	10	2019-03-10 10:47:25	300.00	7	8	1
64	10	2019-03-11 10:47:25	300.00	7	8	1
65	10	2019-03-12 10:47:25	300.00	7	8	1
